,logic_gate,max,unique,sum,Deep,Fanouts
157,g157,100,[100  48  14   2  55  32  13   5  53   8   3],633,-1,1
158,g158,100,[100  54  46  73   5   1  51  49],679,0,1
159,g159,100,[100  52  14   3  54   5  47  11   2],588,-1,1
160,g160,100,[100  50  58   4   3  56  44],665,0,1
161,g161,100,[100  57  19   2  69  10   6  52   9   4],630,-1,1
162,g162,100,[100  56  44  17  13  58  42],643,0,1
163,g163,100,[ 15   7   4 100  41   9  13   2],200,-2,4
164,g164,100,[100  47   7   3  42   4],557,-1,1
165,g165,100,[100  99  50  48   1  45  42  24  15   3  51  49],727,0,1
166,g166,100,[100  48   4   1   7  52],523,-1,1
167,g167,100,[100  53  47  29   4   2  99  51  48],633,0,1
168,g168,100,[100  52   6   4  28   5  47   2],577,-1,1
169,g169,100,[100  57  43  24   9   8  52  48],641,0,1
170,g170,100,[100  57   5   3  41   1  52   4   2],565,-1,1
171,g171,100,[100  59  41  46   5],651,0,1
