,logic_gate,max,unique,sum
90,g090,100,[ 16   5   2   4  14  69  31  25 100  20],474
91,g091,100,[ 16   8   3 100  28   2  37   6  20   7  57  19  47],659
92,g092,100,"[ 52   8   4   2 100  50  49   1  31  60  40  82  62  26  19  17  25  24  20]",1252
93,g093,100,[100  45  29  12   3   1  30  20   7  82  54  27  15  26  19],1347
94,g094,100,[  8   3 100  56  44  24   5  52  48  69  15  14  41],779
95,g095,100,[ 58  26   8   3 100  29   1   6  20   7   2  14  10  31  12],846
96,g096,100,[ 51  15   4 100  61  39  20   5  59  41   9  23  13],949
97,g097,100,[ 10   8 100  29   3  23  11   4  20   7   2   1  45],567
98,g098,100,[ 56  20   7   1 100  52  48  11  51  49   2  85  57  43   9],979
99,g099,100,[ 50  32   5  14  11   9   2  47  12   7   4   1 100  55],404
100,g100,100,[ 12   7   2  38  10   3   1 100  45  41  39  25  20  16],604
101,g101,100,[ 23   9   6 100  57   7   2  47   8  52  10   3  38  21  11],694
102,g102,100,[ 35  13   8 100  53  47  57  16  10  55  45  44   9],805
103,g103,100,[ 42  25   6 100  57   7   2  76  24  18   1  51   9  63  17  11  10],822
104,g104,100,[ 41  17   3   1 100  63  37  39  15  51  48  77  14   4],989
105,g105,100,[ 51  32   5 100  57   7   3  21  52  10  42  18],707
106,g106,100,[ 32  23  18   8 100  51  49  37  35  14   3  55  45   5   2  34   6],886
107,g107,100,[ 19 100  57   7  15   6   5  52  10  17],616
108,g108,100,[ 48  15  13 100  51  49   6   1  55  45   5   3   2  21],733
109,g109,79,[49 20 10 16 11  5  4  2  9  1  6  8  3 79 60 39 22],377
110,g110,100,[ 69  35   9  12   8   3   2   4   6   1 100  46  30],380
111,g111,100,[ 59  21   6   2   4   3   9   1   5 100  52  48  57  30],605
112,g112,100,[  7   5 100  21   4   1   8   3  19  44  35  14  11  10],632
113,g113,100,[  6   5 100  50  42  12   9   8  52  48  44  34  13],899
114,g114,100,[  6   4 100  21   1  48  15  13  19   5   3  54  44  32  11   8],855
115,g115,100,[  6   2 100  52  48  68  28  11   1  51  49  44  31  14  10   7],823
116,g116,100,[ 16 100  21   4  41   5  18   7   6  44  34  14  12   8],740
117,g117,100,[ 26  13   6 100  53  47  18   4  99  50  49   2   1  24],692
118,g118,100,"[ 46  20  13   6   3 100  21   4   2  30  29  14  18   8   1  44  37  15   9]",767
119,g119,100,[ 37  30  19  11 100  55  45  20  10   2  99  53  46],847
120,g120,100,[100  37   5   3   7   1  17  10  54  46  25   4],534
121,g121,100,[ 27  11   9   3 100  57   7   2  24   5  52  10   8],652
122,g122,100,[ 51 100  53  47   9   4  50  16   1  24],765
123,g123,100,[ 65  37  11 100  57   7   2  51  24  52  10   5  23   6],773
124,g124,100,[ 48 100  52  67  32   9   2   1  50   7  26   8   5],807
125,g125,100,[ 58  41   5 100  56   6   2  44  52  10   3   7   1  21  15   8],887
126,g126,100,[ 84  46   9   6   4 100  53   1  52  51  49  76  25  11],1117
127,g127,100,[ 59 100  57   7  22  51   9   4  99  52  46   1  56],1072
128,g128,100,[ 84  47   8 100  51  49  59   1  99  52   2  76  29  24  23],1051
129,g129,100,[100  33  26  10   5   4   1  79  31  30  18],442
130,g130,100,[ 84   2  12  67  43  14   5 100  78  29  28  21],561
131,g131,74,[63  2 11  7  3  1 74 15  6 44],244
132,g132,100,[100  36  20  10  23   4   1  86   8   5   2  18   6  80  31  28  21],687
133,g133,100,[ 15  11   3   2   1  24   4  77 100  50  44],423
134,g134,68,[68 43 33 25 17  6  2 65 15 11  5  3  7 56 23 13],428
135,g135,100,[ 76  43  14  21   4   3  79   6  15 100   9  66  26  11],477
136,g136,100,[100  22   8  30   5   2  78  18   3  53  52   1],527
137,g137,100,[100  49  18   6  11   3  47   9   1   5  60  23  10],653
138,g138,100,[100  56  44  24   1  60  40   4  65  26  15],741
139,g139,100,[100  47  13   7  19  53   8   1  14   6   3  40  23  16],750
140,g140,100,[100  56  43   1  63  44   3  74  27  25  22],1014
141,g141,100,[100  52  14   6  71  17  47  11   3  55  75  31  26  18],1081
142,g142,100,[100  53  47  74   9   2  54  46  78  27  24],1052
143,g143,100,[100  56  18   9  59  52   2  99  50  49  71  28  22  21],1181
144,g144,100,[100  51  48   1  52   8  79  34  23  22],867
145,g145,100,[ 15   1  50  13   7   3 100  64  24  23  17],320
146,g146,100,[100  48   3   1  62  10  47   6  59],740
147,g147,100,[100  99  59  40  64  13  52  48  55  44  71  29  22  20],1228
148,g148,100,[100  47   4   2  13   8   7  51   3   6  54],599
149,g149,100,[100  53  46   1  99  45   2  75  28  14],719
150,g150,100,[100  52   5   2  50  47   6  60  24  12],762
151,g151,100,[100  57  43  65  15  50  51  49],1023
152,g152,100,[100  54   5   3  66  15  52  17   1  59  28  14],744
153,g153,100,[100  99  54  43   2  14   6  46   5  62  24  12],827
154,g154,100,[  5   3  18   9   4 100  51  41  33  10],432
155,g155,100,[100  49  18   3  51  47   9   4   2   1  75  27  25  23],835
156,g156,100,[100  54  46  64  50  16   8   4],692
157,g157,100,[100  48  14   2  55  32  13   5  53   8   3],735
158,g158,100,[100  54  46  73   5   1  51  49  55  45],979
159,g159,100,[100  52  14   3  54   5  47  11   2  19],709
160,g160,100,[100  50  58   4   3  56  44  53  47],965
161,g161,100,[100  57  19   2  69  10   6  52   9   4   3],644
162,g162,100,[100  56  44  17  13  58  42  10   2   1   5],661
163,g163,100,[ 15   7   4 100  41   9  13   2],302
164,g164,100,[100  47   7   3  42   4  51  50   1],759
165,g165,100,[100  99  50  48   1  45  42  24  15   3  51  49  10],837
166,g166,100,[100  48   4   1   7  52  55  45],823
167,g167,100,[100  53  47  29   4   2  99  51  48   9],648
168,g168,100,[100  52   6   4  28   5  47   2   1],578
169,g169,100,[100  57  43  24   9   8  52  48  54   5   1  38  15],762
170,g170,100,[100  57   5   3  41   1  52   4   2  83  46  38  16   8],759
171,g171,100,[100  59  41  46   5  64   8  45   7   6],788
172,g172,65,[50 15  9 65  4  2 59 14  7],284
173,g173,64,[57 13  3 64  8  1],146
174,g174,100,[100  39  13  11   8  64   2],239
175,g175,65,[41 38 21 14  3 65  1],183
176,g176,63,[20  2 63  5  1],111
177,g177,63,[19  8  6 63  4],104
178,g178,64,[48 64  6  5  1],124
179,g179,65,[35  3 65  6  4  2],115
180,g180,66,[49 18 14 13 66  2],179
181,g181,52,[52 18  3 20  1],114
182,g182,100,[100  38  11  10   8   2],171
183,g183,41,[41],41
184,g184,49,[49 28  1],127
185,g185,41,[41 17  2  1],61
186,g186,33,[ 9  1 17  2 33  3],74
187,g187,31,[25  2  1 31 14  7],80
188,g188,39,[31  4  3 17  1 39  7  6],122
189,g189,57,[31  4 17 57 18 10],225
190,g190,21,[21  9  7  2],39
191,g191,1,[1],4
192,g192,50,[50  1 17],86
193,g193,57,[57 15 11  6],95
194,g194,61,[61 11  1 35 16  7],134
195,g195,100,[100  30  11  10   5  17   1  37  12   7],230
196,g196,47,[47  1 45 11  9],171
197,g197,61,[45 24 16  5  3  1 61  7],239
198,g198,17,[ 7 17  1],25
199,g199,28,[28 10  3],41
200,g200,27,[27  7 17  6],101
201,g201,41,[27 14  4 41 24],175
202,g202,58,[58],58
203,g203,100,[ 47  13  10 100  36   3],209
204,g204,82,[58 16 15  5  3 82 61 23 22 24 17  9],467
205,g205,100,[100  37  16  11  10  82   2],260
206,g206,82,[82 39 37  2],160
207,g207,100,[100  45  10],155
208,g208,82,[82  2  1],87
209,g209,82,[82 44 42  2 37 19 10],236
210,g210,100,[100  38  18  42  15   7],220
211,g211,82,[82 24 47 15  9  7],184
212,g212,82,[82  3  1],88
213,g213,82,[82 37 36  1],156
214,g214,100,[100  46   6],152
215,g215,82,[82  3  1],86
216,g216,82,[82 43 38  1],246
217,g217,100,[100  44   8],152
218,g218,82,[82  2],86
219,g219,82,[82 42 40  2],166
220,g220,100,[100  40  15],155
221,g221,100,[100   1],201
222,g222,100,[100  47  10],157
223,g223,100,[100  62  37   1],300
224,g224,100,[100  44  15],159
225,g225,100,[100  68  37  25   6  27   5],468
226,g226,100,[100   2  27   5],234
227,g227,63,[54 18 63 25 15],229
228,g228,55,[40  6 55 23  8],132
229,g229,78,[72 12 10 78 17 16],215
230,g230,100,[100  24  22  15],461
231,g231,100,[100  32  30   2  73],237
232,g232,100,[100  44   7  57  40  16  14  10],288
233,g233,100,[100  72  39  29   4  57  40  28   7   5],381
234,g234,82,[82  2  1 57 37 15 12 10],218
235,g235,100,[ 82  80  42  38 100  53  30  27  23  20],595
236,g236,82,[82 66 24 21 57 46 15 10],363
237,g237,100,[100  37  11  57  26],257
238,g238,57,[57 41 16 15 10],139
239,g239,32,[32 13  4],49
240,g240,33,[33 10  5],48
241,g241,38,[38 12  9],68
242,g242,57,[57 19  9],142
243,g243,28,[28 24 12  7  5],76
244,g244,27,[27 20  9  6  5],67
245,g245,57,[57 11  3],128
246,g246,30,[30 20  9  7  4],70
247,g247,35,[35 13  6],54
248,g248,30,[30 23  9  5],76
249,g249,27,[27 21 13  7  1],69
250,g250,34,[34 13  5],52
251,g251,29,[29 25 10  8  7],79
252,g252,34,[34 13  7],54
253,g253,32,[32 13  8],53
254,g254,57,[57 23 15  6],101
255,g255,71,[71],71
256,g256,74,[74 16],106
257,g257,100,[100  47  11],158
258,g258,78,[78 60 24 20 16],198
259,g259,78,[78 62 22 21 19],202
260,g260,78,[78 57 22 21 14],192
261,g261,50,[50 38 19 11  8],126
262,g262,49,[49 41 15 14 12],131
263,g263,45,[45 18  4],67
264,g264,46,[46 35 13 12 10],116
265,g265,47,[47 35 17 14  4],117
266,g266,35,[35 13  6],54
267,g267,33,[33 13  7],53
268,g268,35,[35 18 14],67
269,g269,55,[55 22 18  4],99
270,g270,55,[55 45 19 14 12],145
271,g271,100,[100  55  33  23  22],355
272,g272,26,[26 20  9  6  5],66
273,g273,38,[38 16 11],65
274,g274,31,[31 26 10  6],83
275,g275,36,[36 12  7],55
276,g276,35,[35 12  5],52
277,g277,32,[32 16  5],53
278,g278,57,[57 22 14  4],97
279,g279,82,[82 26 13],121
280,g280,100,[100  53  16],169
281,g281,3,[3],3
282,g282,3,[3 1],4
283,g283,29,[29 12  4  2],47
284,g284,39,[39 30  8],77
285,g285,51,[51  3],108
286,g286,51,[51  1],53
287,g287,46,[46 44  2],138
288,g288,46,[46  2],96
289,g289,46,[46],46
290,g290,46,[46 44  2],138
291,g291,47,[47],94
292,g292,46,[46],46
293,g293,54,[54  4  2],62
294,g294,3,[3],3
295,g295,22,[22  3  2],27
296,g296,14,[14],14
297,g297,49,[49 46 24 14],133
298,g298,44,[44],132
299,g299,54,[54  1],55
300,g300,56,[56 48],160
301,g301,52,[52 49 23  7],183
302,g302,56,[56  2],60
303,g303,56,[56],56
304,g304,10,[10  6  3  1],33
305,g305,4,[4 3 2 1],10
306,g306,3,[3],3
307,g307,4,[4 3 1],15
308,g308,3,[3 1],5
309,g310,2,[2],2
310,g311,17,[17  9  5],31
311,g312,16,[16  4  2],22
312,g313,25,[25  7  3  1],36
313,g314,29,[29],29
314,g315,7,[7 4 3 1],25
315,g316,30,[30 14],44
316,g317,29,[29 11],69
317,g318,28,[28 26 24  2],80
318,g319,5,[5 3 2],17
319,g320,28,[28  9],37
320,g321,25,[25 10],35
321,g322,23,[23 22  1],69
322,g323,29,[29 17 14 13  1],104
323,g324,14,[14  7  4  3],28
324,g325,30,[30 25 12],67
325,g326,30,[30 22 12],64
326,g327,30,[30  7  4  3],44
327,g328,34,[34 28 10],72
328,g329,34,[34 24 11],69
329,g330,34,[34  9  5  4],52
330,g331,16,[16  6  4],26
331,g332,20,[20  1],21
332,g333,39,[39  5],44
333,g334,45,[45  1],47
334,g335,61,[61  1],62
335,g336,42,[42 29 26  1],98
336,g337,49,[49 34 28  1],112
337,g338,62,[62 20  6  1],151
338,g339,43,[43 12  7  1],106
339,g340,65,[65 14  2],81
340,g341,69,[69 18 17  2],106
341,g342,92,[92 34 15 13],154
342,g343,45,[45],45
343,g344,45,[45  1],47
344,g345,45,[45 44  1],135
345,g346,46,[46  2  1],96
346,g347,100,[100  48   2],150
347,g349,12,[12],12
348,g350,59,[59 25 20  4],167
349,g351,100,[100   3   1],104
350,g352,100,[100   3   1],204
351,g353,100,[100],200
352,g354,100,[100],200
353,g355,100,[100],200
354,g356,100,[100],200
355,g357,100,[100],200
356,g358,100,[100],200
357,g359,100,[100],200
358,g360,100,[100],200
359,g361,100,[100],200
360,g362,100,[100  49  31  25  24  20],349
361,g363,100,[100  45  29  26  19],345
362,g364,100,[100  41  39  25  20  16],341
363,g365,100,[100  55  33  23  22],355
